group,trial,producer,phase_bytes,throughput_MB_s,write_syscall_s,max_write_ms,eagain_count,partial_count,write_calls,blocked_s,max_backpressure_wait_ms,syscall_s_per_GiB,eagain_per_GiB,partial_per_GiB
128,1,6,210528010,3.508808353886159,1.763078601,0.595458,204975,205171,461582,57.882337533,27.32425,8.992110992229053,1045420.1812594914,1046419.8268529874
128,1,7,209939300,3.4989950980571893,1.754417443,0.988875,204541,204705,460538,57.896557618,5.473167,8.973028800725904,1046132.0316052497,1046970.815287657
128,1,8,209530204,3.492177633051538,1.741948893,0.614916,203954,204209,459355,57.908321564,2.677375,8.926652797439175,1045166.4523368478,1046473.2050621972
128,1,9,208911397,3.48186334826914,1.707478456,0.441917,203410,203623,458074,57.944223393,4.566375,8.77592634061101,1045466.296029029,1046561.0520442405
128,1,10,208744377,3.4790801980837456,1.750968878,0.513041,203367,203525,457892,57.900883502,4.212458,9.006654664671295,1046081.6078480907,1046894.3301385312
128,1,11,208605069,3.476759088599919,1.735332894,0.422666,203061,203253,457280,57.917808487,5.012417,8.932187102561532,1045205.1312485796,1046193.4026803155
128,1,12,208224284,3.470411905517938,1.743045828,0.504166,202964,203088,456925,57.909514389,2.821542,8.988294596187975,1046616.3282200841,1047255.7540527405
128,1,13,207953399,3.4658981281939343,1.693202751,0.43675,202475,202694,455976,57.959680661,4.389666,8.742644356876118,1045454.7839076197,1046585.5634985606
128,1,14,207773997,3.4629073952508995,1.685471315,0.390208,202241,202480,455484,57.968047513,4.274625,8.710238384968735,1045148.20604613,1046383.3187149016
128,1,15,207804871,3.4634227711576044,1.70429737,0.902,202354,202573,455697,57.949332767,3.359458,8.806219786360074,1045576.8048560133,1046708.3926687744
128,2,0,216931256,3.615529369568529,1.632476552,0.457208,210956,211208,475164,58.005522901,2.745958,8.080248014521755,1044166.1768820626,1045413.4980133615
128,2,1,213624693,3.5604193829226425,1.629027425,0.403833,207894,208093,468179,58.013594248,3.313709,8.187980771799275,1044937.6409807457,1045937.8747082951
128,2,2,213448064,3.557476093402153,1.627264251,0.315875,207724,207959,467832,58.015618638,3.630375,8.185886778522075,1044947.1523366733,1046129.3103001206
128,2,3,212263016,3.5377240677435364,1.655744703,0.431541,206697,206858,465415,57.98962022,3.114666,8.37565757323244,1045585.8866875236,1046400.3122851698
128,2,4,210744735,3.512420562728665,1.635774991,0.561041,205239,205421,462149,58.013930855,4.378,8.334253391857802,1045690.1721219085,1046617.4598758256
128,2,5,209765243,3.4960956574263893,1.647504495,0.575917,204405,204564,460218,58.002174555,2.68925,8.433210651153962,1046303.9271702415,1047117.8129578693
128,2,6,208905705,3.4817695259519414,1.658943293,0.689625,203571,203689,458299,57.992229523,2.898416,8.526702501199699,1046322.2957625978,1046928.7968403543
128,2,7,208190790,3.4698548276515866,1.646879888,0.4045,202803,202957,456625,58.006180724,3.1645,8.493765813800099,1045954.3533730382,1046748.6067638631
128,2,8,207868221,3.464477278954558,1.634244778,0.406875,202477,202654,455917,58.018898456,3.176333,8.441679831339853,1045893.510090934,1046807.802337886
128,2,9,207455353,3.4575976301542335,1.649413062,0.465375,202134,202289,455108,58.00459486,4.094875,8.536987665588486,1046199.7085821931,1047001.9534040946
128,2,10,207083497,3.4513996699325635,1.657387487,0.459083,201724,201864,454182,57.996358802,3.793042,8.593665304802904,1045952.4725168032,1046678.3819086077
128,2,11,206906100,3.4484430463671085,1.656065448,0.483959,201557,201714,453822,57.998990213,2.871791,8.594172597129313,1045982.6018661025,1046797.3553526745
128,2,12,206636626,3.443951515557577,1.657382014,0.553917,201345,201479,453309,57.99847975,4.701875,8.612221469281799,1046245.0521877956,1046941.3537447907
128,2,13,206464201,3.4410777017402006,1.649621604,0.4385,201122,201293,452858,58.006002978,3.171709,8.57905487445141,1045959.0673858661,1046848.3733818436
128,2,14,206385900,3.4397720515327057,1.639647012,0.545792,201037,201215,452676,58.015439537,2.677625,8.530415950803954,1045913.674681691,1046839.7362230656
128,2,15,206220656,3.437019239463162,1.63098835,0.391167,200807,201004,452194,58.024277191,3.40275,8.492167757684518,1045554.2070042101,1046579.9390692268
128,3,0,215056799,3.5842882271962555,1.551038012,0.565541,209129,209411,471082,58.087127187,30.239917,7.744067575832438,1044145.3372106408,1045553.3149903528
128,3,1,211789537,3.529834205929901,1.532454544,1.676542,206068,206270,464082,58.114274699,32.030584,7.769319299619831,1044734.4723551286,1045758.582665394
128,3,2,211486586,3.5247845990843216,1.538427674,1.976,205831,206048,463549,58.106927319,30.352833,7.810774990584213,1045027.7606530752,1046129.4947167571
128,3,3,210268550,3.5044835431971286,1.552770091,0.421375,204703,204902,460977,58.095157738,30.336125,7.92926088929127,1045321.1980501696,1046337.3967302671
128,3,4,208762686,3.4793855806789984,1.529014567,0.596291,203314,203485,457803,58.120634855,31.986667,7.864273647509738,1045717.2657988124,1046596.7805024313
128,3,5,208073027,3.467891239299498,1.563836817,0.607083,202719,202853,456408,58.088702471,30.347583,8.070036854531532,1046112.8573837492,1046804.3521271597
128,3,6,207129228,3.452162200261354,1.564138358,0.50025,201851,201973,454429,58.088266513,30.201125,8.108371714238634,1046379.9001665955,1047012.338687189
128,3,7,206744527,3.4457496973160007,1.56890593,0.371875,201519,201631,453661,58.084782891,31.954292,8.148220121747727,1046602.6925619947,1047184.3722128809
128,3,8,206246993,3.4374579613595424,1.558778035,0.543292,200948,201095,452433,58.094489791,30.437167,8.115149443715943,1046154.7531466411,1046920.0493860291
128,3,9,205902267,3.4317122857430524,1.563251862,0.406875,200646,200781,451732,58.091637664,30.278916,8.152066172614196,1046331.3743811476,1047035.3741396349
128,3,10,205635422,3.4272633166494137,1.544545426,0.577167,200413,200551,451204,58.110876096,32.042458,8.06496763463299,1046472.5292965918,1047193.10734813
128,3,11,205532802,3.4255544645901197,1.562598153,0.348291,200239,200400,450854,58.093464406,21.023541,8.163305198268308,1046086.0115940812,1046927.1057259269
128,3,12,205272735,3.4212198337039643,1.561775919,0.385417,200013,200161,450326,58.093490153,32.041917,8.169346620467332,1046229.1713690666,1047003.3306355274
